제목,작성 날짜,주최사,활동내용,모집 대상,활동 지역,활동 기간,모집 시작일,모집 마감일
 [국제개발협력 해외NGO_One World Center] 10개월 글로벌 자원봉사여행(Volunteer Abroad) 참가자 모집,20180819,One World Center,글로벌 자원봉사여행 프로그램,만 19세 이상 누구나 참여 가능(비자 필요없음),"덴마크, 아프리카, 다른 유럽국가",10개월,20180819,선착순
 [부산봉사] SCI 국제시민봉사회 부산경남지부에서 대학생 자원봉사자를 모집합니다 ~,20180818,sci 국제시민봉사회 부산경남지부,"일일 봉사, 주말 봉사, 정기적 모임",부산경남소재 대학생,부산,모든 활동에는 강제성이 없이 자신이 원하는 날짜에 원하는 활동을 할 수 있습니다.,20180818,0
" 아름다운가게 종로책방, 세종로책방(광화문) 2학기 정기 자원봉사자 모집 (~9.2)",20180817,름다운가게 책방, 기증품(책/음반) 관리 책방 매장 운영 도서 문화 관련캠페인,"대학생/졸업생/취업준비생/직장인/외국인졸업생 가능 여부 (O,X)O","1. 아름다운가게 종로책방: 서울 1호선 종각역 4번출구 스타벅스 종각점 지하 1층 / 종로구 종로 64 백합빌딩 b12. 아름다운가게 세종로(광화문)책방: 광화문역, 세종문화회관 바로 옆 / 종로구 세종대로 189 세종로공원 지하 1층",1. 종로책방: 18년 9월 3일 ~ 12월31일2. 세종로(광화문)책방: 18년 9월 3일 ~ 12월23일* 활동기간 종료 후다음 기수(겨울방학)연장 활동 가능.(본인 선택)* 연장 활동 시스케줄(요일/시간 변경 가능),20180817,20180902
 [이대복지관] 어르신 나들이 자원봉사(9/6),20180817,이화여자대학교종합사회복지관,"안전하고 즐거운 나들이 진행을 위한 동선 관리, 어르신 거동 보조 등",성인 자원봉사자 누구나,"서대문구(출발 및 도착지), 경기도 안산(동춘서커스 관람)",9/6 하루,20180817,20180817
 [영등포장애인복지관]'휠더월드' 자원봉사자 모집(~8/31),20180817,서울시립영등포장애인복지관,"장애인식개선 캠페인 부스(체험, 만들기, 전시, 홍보) 운영보조 및 행사보조",20세 이상 성인으로 즐겁게 활동 가능한 개인 및 단체,서울시 영등포구 문래동,2018년 9월 8일(토) 1일 09:00~17:00 [8시간],20180817,20180831
 [아름다운 가게]아름다운 엔젤튜터(교육자원봉사자) 모집(~8/19),20180817,아름다운가게X드림메이커 인터내셔널,교육자원봉사,서울/경기 지역에서 활동 가능한 4년제 재학/휴학/졸업생,"서울, 경기",6개월(2018.09 ~ 2019.02),20180817,20180819
 군포중학교 오바마교실 및 멘토링 대학생 자원봉사자 모집(~8/24),20180817,군포중학교,야간 프로그램 오바마교실 운영 및 지원1:1 멘토링 활동대학생 자원봉사 평가회 진행," 사회복지 관련학과(청소년학, 아동학, 유아교육 등) 재학생, 휴학생 우대 아동·청소년·학교 내 활동에 관심 있는 누구나 지원가능  아이들을 사랑하는 마음과 배움의 자세가 있으신 분(전공무관) 지속적인 활동이 가능하고 성실히 활동에 임할 수 있는 분 대학원생 지원가능",경기도 군포시,2018.09 ~2018.12,20180817,20180824
 굿네이버스 좋은마음센터 서울동작 RubHeart 대학생 자원봉사자 모집(~8/26),20180817,굿네이버스," 복지사업(아동권리, 폭력 등 각종 캠페인, 홍보 사업, 캠페인 펀드레이저 활동 등)"," 화요일 또는 수요일 주 1회 활동이 가능한 대학생, 휴학생(졸업생 불가능)", 서울 전지역,,20180817,20180826
 [영등포장애인복지관] 9월 8일 토요일 휠더월드 행사 자원봉사자 모집,20180816,서울시립영등포장애인복지관,"장애인식개선 캠페인 부스(체험, 만들기, 전시, 홍보) 운영보조 및 행사보조",20세 이상 성인으로 즐겁게 활동해주실 개인 및 단체,서울시 영등포구 문래공원 (문래역 1번출구),2018년 9월 8일 (토) / 09:00 ~ 17:00 (8시간),20180814,20180831
 [2018] 제15회 대한민국 향토食문화대전 2차 자원봉사자 모집 (~8/31)★,20180816,세계음식문화연구원,"현장 스텝,사무실 스텝","성별, 나이 ,학력, 경력 (무관)",,2018년 11월 8일 ~ 11월 10일,20180801,20180831
